District,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
North York,Black Creek,43.7346342,-79.50535500000001,2,Moving Target,Park,Home Service,Grocery Store,Zoo,Farm,Eastern European Restaurant,Electronics Store,Empanada Restaurant,Ethiopian Restaurant
North York,The Bridle Path,43.7353996,-79.37088299999999,2,Music Venue,Zoo,Field,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant,Farm,Farmers Market
North York,Clanton Park,43.74359000000004,-79.44320999999997,2,Other Great Outdoors,Convenience Store,Park,Deli / Bodega,Pharmacy,Fast Food Restaurant,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space
North York,Don Mills,43.737178,-79.3434514,2,Restaurant,American Restaurant,Coffee Shop,Liquor Store,Bakery,Bank,Bar,Middle Eastern Restaurant,Chocolate Shop,Sandwich Place
North York,Don Valley Village,43.7926732,-79.3547219,2,Coffee Shop,Park,Sandwich Place,Grocery Store,Pizza Place,Beer Store,Bank,Chinese Restaurant,Hot Dog Joint,Falafel Restaurant
North York,Downsview,43.7492988,-79.462248,2,Metro Station,Outdoor Supply Store,Gym / Fitness Center,Gym,Café,Coffee Shop,Grocery Store,French Restaurant,Men's Store,Gas Station
North York,Flemingdon Park,43.7184315,-79.33320400000001,2,Coffee Shop,Japanese Restaurant,Sandwich Place,Grocery Store,Middle Eastern Restaurant,Science Museum,Gym,Golf Course,Nightclub,Pakistani Restaurant
North York,Glen Park,43.7090016,-79.4437983,2,Grocery Store,Pizza Place,Japanese Restaurant,Pub,Coffee Shop,Flower Shop,Playground,Park,Sushi Restaurant,Exhibit
North York,Henry Farm,43.7695089,-79.35429599999999,2,Coffee Shop,Cosmetics Shop,Park,Tennis Court,Eastern European Restaurant,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant
North York,Hillcrest Village,43.7996637,-79.3650189,2,Pool,Park,Sandwich Place,Shopping Mall,Korean Restaurant,Diner,Pharmacy,Recreation Center,Grocery Store,Pizza Place
North York,Hoggs Hollow,43.741534200000004,-79.4028781,2,Coffee Shop,Gym,Business Service,Grocery Store,Gym / Fitness Center,Sandwich Place,Golf Course,Seafood Restaurant,Thai Restaurant,French Restaurant
North York,Humber Summit,43.7600778,-79.5717598,2,Coffee Shop,Sports Bar,Mexican Restaurant,Bakery,Empanada Restaurant,Pizza Place,Park,Zoo,Ethiopian Restaurant,Event Space
North York,Humbermede,43.742840000000065,-79.53745999999995,2,Nightclub,Hockey Field,Latin American Restaurant,Café,Discount Store,Bus Station,Hockey Arena,Grocery Store,Filipino Restaurant,Fish & Chips Shop
North York,Jane and Finch,43.7572532,-79.5176975,2,Fast Food Restaurant,Pizza Place,Vietnamese Restaurant,Discount Store,Beer Store,Coffee Shop,Falafel Restaurant,Pharmacy,Gym / Fitness Center,Sandwich Place
North York,Lansing,43.758950299999995,-79.4225555,2,Park,Electronics Store,Health & Beauty Service,Coffee Shop,Eastern European Restaurant,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant
North York,Lawrence Heights,43.722778399999996,-79.45093320000001,0,Clothing Store,Dessert Shop,Restaurant,Furniture / Home Store,Fast Food Restaurant,Men's Store,Chocolate Shop,Toy / Game Store,Greek Restaurant,Sporting Goods Shop
North York,Lawrence Manor,43.72207879999999,-79.4375067,2,Park,Breakfast Spot,Shoe Store,Bank,Bagel Shop,Doctor's Office,Sandwich Place,Kids Store,Clothing Store,Diner
North York,Ledbury Park,43.72606035311836,-79.42342836476347,2,Pizza Place,Fast Food Restaurant,Sandwich Place,Bakery,Cosmetics Shop,Bagel Shop,Italian Restaurant,Bridal Shop,Liquor Store,Beer Store
North York,Maple Leaf,43.712276700000004,-79.49019770000001,2,Business Service,Bakery,Construction & Landscaping,Home Service,Coffee Shop,Zoo,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant
North York,Newtonbrook,43.7938863,-79.4256790230105,3,Korean Restaurant,Middle Eastern Restaurant,Coffee Shop,Café,Pizza Place,Fast Food Restaurant,Grocery Store,Vietnamese Restaurant,Discount Store,Pharmacy
North York,North York City Centre,43.768260000000055,-79.41262999999998,3,Coffee Shop,Japanese Restaurant,Fast Food Restaurant,Ramen Restaurant,Korean Restaurant,Sandwich Place,Pizza Place,Restaurant,Café,Middle Eastern Restaurant
North York,Parkway Forest,43.77166,-79.3426631,0,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Food Court,Asian Restaurant,Intersection,Shopping Mall,Bakery,Accessories Store
North York,Parkwoods,43.7587999,-79.32019659999999,2,Pharmacy,Coffee Shop,Pet Store,Discount Store,Bowling Alley,Café,Tennis Court,Liquor Store,Beer Store,Supermarket
North York,The Peanut,43.78406939999999,-79.3515012,2,Fast Food Restaurant,Bakery,Beer Store,Caribbean Restaurant,Grocery Store,Baseball Field,Sandwich Place,Park,Theater,Fried Chicken Joint
North York,Pelmo Park – Humberlea,43.71035000000007,-79.52926999999994,2,Grocery Store,Sandwich Place,Furniture / Home Store,Supplement Shop,Japanese Restaurant,Bank,Food & Drink Shop,Shopping Mall,Gym,Beer Store
North York,Pleasant View,43.787048,-79.3337137,2,Thrift / Vintage Store,Italian Restaurant,Bus Station,Fast Food Restaurant,Park,Coffee Shop,Pharmacy,Japanese Restaurant,Breakfast Spot,Pizza Place
North York,Uptown Toronto,43.719471999999996,-79.445,2,Coffee Shop,Fast Food Restaurant,Metro Station,Video Game Store,Grocery Store,Park,Hardware Store,Pet Store,Bus Line,Convenience Store
North York,Victoria Village,43.732658,-79.3111892,2,Middle Eastern Restaurant,Wings Joint,Thai Restaurant,Home Service,Asian Restaurant,Bus Line,Zoo,Field,Ethiopian Restaurant,Event Space
North York,Westminster–Branson,43.781990000000064,-79.44951999999995,2,Grocery Store,Coffee Shop,Pizza Place,Park,Butcher,Pharmacy,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space
North York,Willowdale,43.77535579999999,-79.4166859823926,3,Korean Restaurant,Bubble Tea Shop,Coffee Shop,Café,Ramen Restaurant,Dessert Shop,Pizza Place,Vietnamese Restaurant,Sushi Restaurant,Japanese Restaurant
North York,York Mills,43.7461836,-79.4204541,2,Sports Club,Wine Shop,Tennis Court,Intersection,Fast Food Restaurant,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
North York,York University Heights,43.7587808,-79.51943359999999,2,Fast Food Restaurant,Pizza Place,Hotel,Coffee Shop,Fried Chicken Joint,Beer Store,Falafel Restaurant,Liquor Store,Gym,Gym / Fitness Center
Scarborough,Agincourt,43.7853531,-79.2785494,2,Chinese Restaurant,Vietnamese Restaurant,Cantonese Restaurant,Korean Restaurant,Asian Restaurant,Coffee Shop,Rental Car Location,Country Dance Club,Xinjiang Restaurant,Hong Kong Restaurant
Scarborough,Armadale,43.8365868,-79.25115509999999,2,Grocery Store,Pizza Place,Fast Food Restaurant,Greek Restaurant,Gym,Hakka Restaurant,Sandwich Place,Juice Bar,Coffee Shop,Big Box Store
Scarborough,Bendale,43.7535196,-79.2553355,2,Grocery Store,Park,Chinese Restaurant,Department Store,Tennis Court,Dog Run,Coffee Shop,Caribbean Restaurant,Fast Food Restaurant,Fried Chicken Joint
Scarborough,Birch Cliff,43.70211215,-79.26009053015679,2,Park,Pet Store,Hotel,Gym,American Restaurant,Gym Pool,Fish & Chips Shop,Zoo,Electronics Store,Empanada Restaurant
Scarborough, Birch Cliff Heights,43.69222666070055,-79.26513261671892,2,Skating Rink,Diner,Bank,Thai Restaurant,Café,Park,General Entertainment,College Stadium,Discount Store,Ethiopian Restaurant
Scarborough,Brown's Corners,43.812988700000005,-79.24302209999999,2,Chinese Restaurant,Afghan Restaurant,Gym,Light Rail Station,Chocolate Shop,Vietnamese Restaurant,Train Station,Fast Food Restaurant,Sandwich Place,Zoo
Scarborough,Clairlea,43.708823100000004,-79.2959856,2,Intersection,Convenience Store,Fast Food Restaurant,Pharmacy,Pizza Place,Burger Joint,Diner,Grocery Store,Mexican Restaurant,Sandwich Place
Scarborough,Cliffside,43.711169899999994,-79.2481769,2,Pizza Place,Pharmacy,Breakfast Spot,Gastropub,Grocery Store,Snack Place,Sandwich Place,Park,Sushi Restaurant,Coffee Shop
Scarborough,Cliffcrest,43.7219387,-79.2362324,2,Fast Food Restaurant,Flower Shop,Pizza Place,Burger Joint,Furniture / Home Store,Pharmacy,Park,Discount Store,Coffee Shop,Sandwich Place
Scarborough,Dorset Park,43.7528467,-79.282067,2,Furniture / Home Store,Asian Restaurant,Burger Joint,Coffee Shop,Intersection,Indian Restaurant,Sandwich Place,Thrift / Vintage Store,Gym / Fitness Center,Bakery
Scarborough,Eglinton East,43.739622,-79.23229040000001,2,Fast Food Restaurant,Sandwich Place,Restaurant,Train Station,Coffee Shop,Convenience Store,Indian Restaurant,Women's Store,Flower Shop,Falafel Restaurant
Scarborough,Golden Mile,43.727841399999996,-79.2876217,0,Clothing Store,Shoe Store,Coffee Shop,Women's Store,Burger Joint,Pet Store,Fast Food Restaurant,Sandwich Place,Greek Restaurant,Electronics Store
Scarborough,Guildwood,43.754898499999996,-79.1977755,2,Train Station,Miscellaneous Shop,Storage Facility,Moving Target,Baseball Field,Fast Food Restaurant,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
Scarborough,Highland Creek,43.790117200000005,-79.1733344,2,Breakfast Spot,Baseball Field,Italian Restaurant,Home Service,Bus Station,Neighborhood,Filipino Restaurant,Event Space,Exhibit,Falafel Restaurant
Scarborough,Ionview,43.7359904,-79.2765146,2,Chinese Restaurant,Intersection,Pizza Place,Deli / Bodega,Badminton Court,Fast Food Restaurant,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space
Scarborough,L'Amoreaux,43.799003000000006,-79.30596690000002,2,Chinese Restaurant,Park,Coffee Shop,Tennis Court,Athletics & Sports,Bus Stop,Luggage Store,Shopping Mall,Zoo,Empanada Restaurant
Scarborough,Malvern,43.8091955,-79.2217008,2,Fast Food Restaurant,Pizza Place,Park,Pharmacy,Sandwich Place,Grocery Store,Bubble Tea Shop,Skating Rink,Fish & Chips Shop,Food
Scarborough,Maryvale,43.7590508,-79.31022970000001,2,Pet Store,Coffee Shop,Pharmacy,Sandwich Place,Paper / Office Supplies Store,Hakka Restaurant,Greek Restaurant,Beer Store,Health Food Store,Bus Line
Scarborough,Milliken,43.823217299999996,-79.3015232,2,Chinese Restaurant,Japanese Restaurant,Bakery,Vietnamese Restaurant,Optical Shop,Asian Restaurant,Vegetarian / Vegan Restaurant,Hong Kong Restaurant,Bubble Tea Shop,Grocery Store
Scarborough,Morningside,43.7826012,-79.2049579,2,Sandwich Place,Park,Coffee Shop,Beer Store,Convenience Store,Tennis Court,Supermarket,Pharmacy,Discount Store,Electronics Store
Scarborough,Morningside Heights,43.823700099999996,-79.2241521,2,Park,Zoo,Fast Food Restaurant,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant,Farm
Scarborough,Oakridge,43.697173799999995,-79.27482320000001,2,Chinese Restaurant,Pizza Place,Dog Run,Park,Bus Stop,Restaurant,Fast Food Restaurant,Fish Market,Flea Market,Electronics Store
Scarborough,Port Union,43.7755039,-79.13497650000001,2,Park,Convenience Store,Pet Store,Liquor Store,Train Station,Sandwich Place,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Beer Store
Scarborough,Rouge,43.8049304,-79.1658374,2,Bus Station,Candy Store,Park,Fast Food Restaurant,Field,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant,Farm
Scarborough,Scarborough City Centre,43.773077,-79.257774,0,Clothing Store,Coffee Shop,Restaurant,Grocery Store,Gym,Tea Room,Sandwich Place,Electronics Store,Cosmetics Shop,Sporting Goods Shop
Scarborough,Scarborough Junction,43.7160494,-79.26070279999999,2,Train Station,Park,Fast Food Restaurant,Sandwich Place,Soccer Field,Zoo,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Empanada Restaurant
Scarborough,Scarborough Village,43.7437422,-79.2116324,2,Coffee Shop,Pub,Pharmacy,Chinese Restaurant,Grocery Store,Gym,Shopping Mall,Fast Food Restaurant,Beer Store,Pizza Place
Scarborough,Steeles,43.8161778,-79.3145378,2,Park,Baseball Field,BBQ Joint,Pizza Place,Chinese Restaurant,Supermarket,Pharmacy,Tattoo Parlor,Zoo,Ethiopian Restaurant
Scarborough,Tam O'Shanter – Sullivan,43.782511799999995,-79.30939529999999,2,Intersection,Seafood Restaurant,Noodle House,Discount Store,Park,Sandwich Place,Coffee Shop,Italian Restaurant,Pharmacy,Shopping Mall
Scarborough,West Hill,43.7689144,-79.1872905,2,Pizza Place,Video Game Store,Coffee Shop,Breakfast Spot,Fast Food Restaurant,Supermarket,Thrift / Vintage Store,Sandwich Place,Chinese Restaurant,Electronics Store
Scarborough,West Rouge,43.7859631,-79.1307556,2,Lawyer,Food Truck,Trail,Train Station,Sandwich Place,Zoo,Eastern European Restaurant,Electronics Store,Empanada Restaurant,Ethiopian Restaurant
Scarborough,Wexford,43.74537670000001,-79.29471550000001,2,Middle Eastern Restaurant,Pizza Place,Intersection,Bar,Bakery,Grocery Store,Korean Restaurant,Coffee Shop,Supermarket,Seafood Restaurant
Scarborough,Woburn,43.7598243,-79.2252908,2,Fast Food Restaurant,Coffee Shop,Grocery Store,Park,Furniture / Home Store,Supermarket,Bank,Liquor Store,Beer Store,Luggage Store
York,Baby Point,43.655874100000005,-79.49649409999999,2,Park,Café,Metro Station,Athletics & Sports,Pizza Place,River,Coffee Shop,Burger Joint,Spa,Taco Place
York,Briar Hill–Belgravia,43.69852000000003,-79.45124999999996,2,Park,Pizza Place,Bakery,Caribbean Restaurant,Thai Restaurant,Bank,Grocery Store,Clothing Store,Sandwich Place,Bike Shop
York,Eglinton West,43.699104399999996,-79.43610579999999,2,Coffee Shop,Caribbean Restaurant,Park,Convenience Store,Playground,Bagel Shop,Bank,Gastropub,Beer Store,Sushi Restaurant
York,Fairbank,43.695689,-79.4503097,2,Park,Bakery,Pizza Place,Pharmacy,Argentinian Restaurant,Coffee Shop,Fast Food Restaurant,Bike Shop,Discount Store,Japanese Restaurant
York,Humewood–Cedarvale,43.68942000000004,-79.42697999999996,2,Convenience Store,Playground,Field,Dance Studio,Grocery Store,Food,Farmers Market,Electronics Store,Empanada Restaurant,Ethiopian Restaurant
York,Lambton,43.6658675,-79.49922420000001,2,Sporting Goods Shop,Dance Studio,Grocery Store,Skating Rink,Trail,Clothing Store,Beer Store,Bakery,Golf Course,Convenience Store
York,Mount Dennis,43.6869597,-79.48955129999999,2,Park,Furniture / Home Store,Coffee Shop,Grocery Store,Construction & Landscaping,Tennis Court,Bus Line,Fast Food Restaurant,Farmers Market,Empanada Restaurant
York,Oakwood–Vaughan,43.6916811,-79.4399097,2,Pizza Place,Park,Coffee Shop,Caribbean Restaurant,Grocery Store,Convenience Store,BBQ Joint,Deli / Bodega,Record Shop,Café
York,Old Mill,43.651301200000006,-79.49547530000001,2,Park,River,Metro Station,American Restaurant,Spa,Zoo,Farmers Market,Electronics Store,Empanada Restaurant,Ethiopian Restaurant
York,Rockcliffe–Smythe,43.675280000000036,-79.48864999999995,2,Pizza Place,Furniture / Home Store,Park,Beer Store,Supermarket,Bus Line,Coffee Shop,Filipino Restaurant,Event Space,Exhibit
York,Silverthorn,43.682123,-79.4715724,2,BBQ Joint,Pizza Place,Coffee Shop,Bakery,Beer Store,Wine Shop,Thrift / Vintage Store,Latin American Restaurant,Café,Sandwich Place
York,Tichester,43.6855019,-79.4187307,0,Coffee Shop,Café,Bakery,Ice Cream Shop,Italian Restaurant,Bank,Mediterranean Restaurant,Sandwich Place,Liquor Store,Dessert Shop
York,Weston,43.70016079999999,-79.5162474,2,Coffee Shop,Train Station,Park,Café,Laundromat,Breakfast Spot,Soccer Field,Discount Store,Sandwich Place,Diner
