District,Neighbourhood,Location,Latitude,Longitude
Old Toronto,Bloor West Village,"Bloor West Village, Old Toronto, Toronto, CANADA",43.6493184,-79.4844358
Old Toronto,Bracondale Hill,"Bracondale Hill, Old Toronto, Toronto, CANADA",43.6761247,-79.4279997
Old Toronto,Brockton Village,"Brockton Village, Old Toronto, Toronto, CANADA",43.6509173,-79.4400216
Old Toronto,Carleton Village,"Carleton Village, Old Toronto, Toronto, CANADA",43.6707205,-79.4532778
Old Toronto,Corso Italia,"Corso Italia, Old Toronto, Toronto, CANADA",43.677954,-79.4430828
Old Toronto,Davenport,"Davenport, Old Toronto, Toronto, CANADA",43.6715614,-79.4482927
Old Toronto,Dovercourt Park,"Dovercourt Park, Old Toronto, Toronto, CANADA",43.6651844,-79.433504844005
Old Toronto,Dufferin Grove,"Dufferin Grove, Old Toronto, Toronto, CANADA",43.6536319,-79.4264389
Old Toronto,Earlscourt,"Earlscourt, Old Toronto, Toronto, CANADA",43.6762773,-79.4505723
Old Toronto,Fort York,"Fort York, Old Toronto, Toronto, CANADA",43.6386801,-79.4035012349971
Old Toronto,High Park,"High Park, Old Toronto, Toronto, CANADA",43.64628135,-79.4638213811953
Old Toronto,The Junction,"The Junction, Old Toronto, Toronto, CANADA",43.6654775,-79.470352
Old Toronto,Junction Triangle,"Junction Triangle, Old Toronto, Toronto, CANADA",43.65789885,-79.4480432422613
Old Toronto,Koreatown,"Koreatown, Old Toronto, Toronto, CANADA",43.6635564,-79.4184157
Old Toronto,Liberty Village,"Liberty Village, Old Toronto, Toronto, CANADA",43.6388951,-79.4179531
Old Toronto,Little Italy,"Little Italy, Old Toronto, Toronto, CANADA",43.6552079,-79.4148769
Old Toronto,Little Portugal,"Little Portugal, Old Toronto, Toronto, CANADA",43.64741325,-79.4311163254605
Old Toronto,Little Tibet,"Little Tibet, Old Toronto, Toronto, CANADA",43.6389445,-79.4273119
Old Toronto,Mirvish Village,"Mirvish Village, Old Toronto, Toronto, CANADA",43.6651321,-79.411205
Old Toronto,Niagara,"Niagara, Old Toronto, Toronto, CANADA",43.6434701,-79.4082484
Old Toronto,Palmerston,"Palmerston, Old Toronto, Toronto, CANADA",43.6558643,-79.4101202
Old Toronto,Parkdale,"Parkdale, Old Toronto, Toronto, CANADA",43.6371777,-79.4360045
Old Toronto,Roncesvalles,"Roncesvalles, Old Toronto, Toronto, CANADA",43.6514426,-79.4510381
Old Toronto,Runnymede,"Runnymede, Old Toronto, Toronto, CANADA",43.6655802,-79.4821078
Old Toronto,Seaton Village,"Seaton Village, Old Toronto, Toronto, CANADA",43.6692756,-79.4159596
Old Toronto,Swansea,"Swansea, Old Toronto, Toronto, CANADA",43.64494,-79.478313
Old Toronto,Trinity–Bellwoods,"Trinity–Bellwoods, Old Toronto, Toronto, CANADA",43.64756465,-79.4138809026667
Old Toronto,Wallace Emerson,"Wallace Emerson, Old Toronto, Toronto, CANADA",43.6667328,-79.4464779
East York,Broadview North,"Broadview North, East York, Toronto, CANADA",43.6839242,-79.3569642
East York,Crescent Town,"Crescent Town, East York, Toronto, CANADA",43.695403,-79.293099
East York,Pape Village,"Pape Village, East York, Toronto, CANADA",43.6893775,-79.3488243
East York,Woodbine Heights,"Woodbine Heights, East York, Toronto, CANADA",43.6999302,-79.3191316
East York,Bermondsey,"Bermondsey, East York, Toronto, CANADA",43.7138242,-79.3106776
East York,Governor's Bridge,"Governor's Bridge, East York, Toronto, CANADA",43.69043250000001,-79.36866675
East York,Leaside,"Leaside, East York, Toronto, CANADA",43.7047983,-79.3680904
East York,O'Connor–Parkview,"O'Connor–Parkview, East York, Toronto, CANADA",43.7070599,-79.3116303
East York,Thorncliffe Park,"Thorncliffe Park, East York, Toronto, CANADA",43.704553,-79.3454074
Etobicoke,Alderwood,"Alderwood, Etobicoke, Toronto, CANADA",43.6017173,-79.5452325
Etobicoke,Centennial Park,"Centennial Park, Etobicoke, Toronto, CANADA",43.65359045,-79.5888688813873
Etobicoke,Clairville,"Clairville, Etobicoke, Toronto, CANADA",43.74790000000007,-79.63176999999996
Etobicoke,Eatonville,"Eatonville, Etobicoke, Toronto, CANADA",43.6462843,-79.5600005
Etobicoke,The Elms,"The Elms, Etobicoke, Toronto, CANADA",43.6969975,-79.5218834
Etobicoke,Eringate,"Eringate, Etobicoke, Toronto, CANADA",43.6622732,-79.5765162
Etobicoke,Humber Bay,"Humber Bay, Etobicoke, Toronto, CANADA",43.6400463,-79.495028
Etobicoke,Humber Heights – Westmount,"Humber Heights – Westmount, Etobicoke, Toronto, CANADA",43.6860721,-79.5288038497315
Etobicoke,Humber Valley Village,"Humber Valley Village, Etobicoke, Toronto, CANADA",43.6664717,-79.5243136
Etobicoke,Humberwood,"Humberwood, Etobicoke, Toronto, CANADA",43.722525,-79.5460241478979
Etobicoke,Islington–City Centre West,"Islington–City Centre West, Etobicoke, Toronto, CANADA",43.6487953,-79.5490002
Etobicoke,Kingsview Village,"Kingsview Village, Etobicoke, Toronto, CANADA",43.6995391,-79.5563459
Etobicoke,The Kingsway,"The Kingsway, Etobicoke, Toronto, CANADA",43.6473811,-79.5113328
Etobicoke,Long Branch,"Long Branch, Etobicoke, Toronto, CANADA",43.5930751,-79.541212
Etobicoke,Markland Wood,"Markland Wood, Etobicoke, Toronto, CANADA",43.63123795,-79.5854368166265
Etobicoke,Mimico,"Mimico, Etobicoke, Toronto, CANADA",43.603656,-79.4931782
Etobicoke,New Toronto,"New Toronto, Etobicoke, Toronto, CANADA",43.6007625,-79.505264
Etobicoke,Princess Gardens,"Princess Gardens, Etobicoke, Toronto, CANADA",43.67574935,-79.5528551098826
Etobicoke,Rexdale,"Rexdale, Etobicoke, Toronto, CANADA",43.7213619,-79.5655129
Etobicoke,Richview,"Richview, Etobicoke, Toronto, CANADA",43.6886113,-79.5428312
Etobicoke,Smithfield,"Smithfield, Etobicoke, Toronto, CANADA",43.6311185,-79.4856602
Etobicoke,Stonegate-Queensway,"Stonegate-Queensway, Etobicoke, Toronto, CANADA",43.62195,-79.5234993
Etobicoke,Sunnylea,"Sunnylea, Etobicoke, Toronto, CANADA",43.64159705,-79.5016649732138
Etobicoke,Thistletown,"Thistletown, Etobicoke, Toronto, CANADA",43.7372656,-79.5653169
Etobicoke,Thorncrest Village,"Thorncrest Village, Etobicoke, Toronto, CANADA",43.6592355,-79.5297762
Etobicoke,West Humber-Clairville,"West Humber-Clairville, Etobicoke, Toronto, CANADA",43.714510000000075,-79.59291999999994
Etobicoke,West Deane Park,"West Deane Park, Etobicoke, Toronto, CANADA",43.6631995,-79.5685684
Etobicoke,Willowridge,"Willowridge, Etobicoke, Toronto, CANADA",43.6755594,-79.5698955132183
North York,Amesbury,"Amesbury, North York, Toronto, CANADA",43.7061619,-79.4834918540464
North York,Armour Heights,"Armour Heights, North York, Toronto, CANADA",43.7439436,-79.4308512
North York,Bathurst Manor,"Bathurst Manor, North York, Toronto, CANADA",43.76389295,-79.4563669371095
North York,Bayview Village,"Bayview Village, North York, Toronto, CANADA",43.7691966,-79.3766617
North York,Bayview Woods – Steeles,"Bayview Woods – Steeles, North York, Toronto, CANADA",43.7981268,-79.3829726
North York,Bermondsey,"Bermondsey, North York, Toronto, CANADA",43.7254045,-79.3136935
North York,Black Creek,"Black Creek, North York, Toronto, CANADA",43.7346342,-79.505355
North York,The Bridle Path,"The Bridle Path, North York, Toronto, CANADA",43.7353996,-79.370883
North York,Clanton Park,"Clanton Park, North York, Toronto, CANADA",43.74359000000004,-79.44320999999997
North York,Don Mills,"Don Mills, North York, Toronto, CANADA",43.737178,-79.3434514
North York,Don Valley Village,"Don Valley Village, North York, Toronto, CANADA",43.7926732,-79.3547219
North York,Downsview,"Downsview, North York, Toronto, CANADA",43.7492988,-79.462248
North York,Flemingdon Park,"Flemingdon Park, North York, Toronto, CANADA",43.7184315,-79.333204
North York,Glen Park,"Glen Park, North York, Toronto, CANADA",43.7090016,-79.4437983
North York,Henry Farm,"Henry Farm, North York, Toronto, CANADA",43.7695089,-79.354296
North York,Hillcrest Village,"Hillcrest Village, North York, Toronto, CANADA",43.7996637,-79.3650189
North York,Hoggs Hollow,"Hoggs Hollow, North York, Toronto, CANADA",43.7415342,-79.4028781
North York,Humber Summit,"Humber Summit, North York, Toronto, CANADA",43.7600778,-79.5717598
North York,Humbermede,"Humbermede, North York, Toronto, CANADA",43.74284000000006,-79.53745999999995
North York,Jane and Finch,"Jane and Finch, North York, Toronto, CANADA",43.7572532,-79.5176975
North York,Lansing,"Lansing, North York, Toronto, CANADA",43.7589503,-79.4225555
North York,Lawrence Heights,"Lawrence Heights, North York, Toronto, CANADA",43.7227784,-79.4509332
North York,Lawrence Manor,"Lawrence Manor, North York, Toronto, CANADA",43.7220788,-79.4375067
North York,Ledbury Park,"Ledbury Park, North York, Toronto, CANADA",43.72606035311836,-79.42342836476347
North York,Maple Leaf,"Maple Leaf, North York, Toronto, CANADA",43.7122767,-79.4901977
North York,Newtonbrook,"Newtonbrook, North York, Toronto, CANADA",43.7938863,-79.4256790230105
North York,North York City Centre,"North York City Centre, North York, Toronto, CANADA",43.768260000000055,-79.41262999999998
North York,Parkway Forest,"Parkway Forest, North York, Toronto, CANADA",43.77166,-79.3426631
North York,Parkwoods,"Parkwoods, North York, Toronto, CANADA",43.7587999,-79.3201966
North York,The Peanut,"The Peanut, North York, Toronto, CANADA",43.7840694,-79.3515012
North York,Pelmo Park – Humberlea,"Pelmo Park – Humberlea, North York, Toronto, CANADA",43.71035000000006,-79.52926999999994
North York,Pleasant View,"Pleasant View, North York, Toronto, CANADA",43.787048,-79.3337137
North York,Uptown Toronto,"Uptown Toronto, North York, Toronto, CANADA",43.719472,-79.445
North York,Victoria Village,"Victoria Village, North York, Toronto, CANADA",43.732658,-79.3111892
North York,Westminster–Branson,"Westminster–Branson, North York, Toronto, CANADA",43.781990000000064,-79.44951999999995
North York,Willowdale,"Willowdale, North York, Toronto, CANADA",43.7753558,-79.4166859823926
North York,York Mills,"York Mills, North York, Toronto, CANADA",43.7461836,-79.4204541
North York,York University Heights,"York University Heights, North York, Toronto, CANADA",43.7587808,-79.5194336
Scarborough,Agincourt,"Agincourt, Scarborough, Toronto, CANADA",43.7853531,-79.2785494
Scarborough,Armadale,"Armadale, Scarborough, Toronto, CANADA",43.8365868,-79.2511551
Scarborough,Bendale,"Bendale, Scarborough, Toronto, CANADA",43.7535196,-79.2553355
Scarborough,Birch Cliff,"Birch Cliff, Scarborough, Toronto, CANADA",43.70211215,-79.2600905301568
Scarborough, Birch Cliff Heights," Birch Cliff Heights, Scarborough, Toronto, CANADA",43.69222666070055,-79.26513261671892
Scarborough,Brown's Corners,"Brown's Corners, Scarborough, Toronto, CANADA",43.8129887,-79.2430221
Scarborough,Clairlea,"Clairlea, Scarborough, Toronto, CANADA",43.7088231,-79.2959856
Scarborough,Cliffside,"Cliffside, Scarborough, Toronto, CANADA",43.7111699,-79.2481769
Scarborough,Cliffcrest,"Cliffcrest, Scarborough, Toronto, CANADA",43.7219387,-79.2362324
Scarborough,Dorset Park,"Dorset Park, Scarborough, Toronto, CANADA",43.7528467,-79.282067
Scarborough,Eglinton East,"Eglinton East, Scarborough, Toronto, CANADA",43.739622,-79.2322904
Scarborough,Golden Mile,"Golden Mile, Scarborough, Toronto, CANADA",43.7278414,-79.2876217
Scarborough,Guildwood,"Guildwood, Scarborough, Toronto, CANADA",43.7548985,-79.1977755
Scarborough,Highland Creek,"Highland Creek, Scarborough, Toronto, CANADA",43.7901172,-79.1733344
Scarborough,Ionview,"Ionview, Scarborough, Toronto, CANADA",43.7359904,-79.2765146
Scarborough,L'Amoreaux,"L'Amoreaux, Scarborough, Toronto, CANADA",43.799003,-79.3059669
Scarborough,Malvern,"Malvern, Scarborough, Toronto, CANADA",43.8091955,-79.2217008
Scarborough,Maryvale,"Maryvale, Scarborough, Toronto, CANADA",43.7590508,-79.3102297
Scarborough,Milliken,"Milliken, Scarborough, Toronto, CANADA",43.8232173,-79.3015232
Scarborough,Morningside,"Morningside, Scarborough, Toronto, CANADA",43.7826012,-79.2049579
